,sim,lda,freq,lda_log_freq_1,corpus,n_comp,size,delta,delta_max
140,12,0.34418,0.32782,0.34414,en_wiki,2,4096,0.01632,0.016359999999999986
141,12,0.34418,0.32782,0.34414,en_wiki,2,8192,0.01632,0.016359999999999986
142,12,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
143,13,0.34418,0.32782,0.34082,en_wiki,2,16,0.013000000000000012,0.016359999999999986
144,13,0.34418,0.32782,0.32519,en_wiki,2,32,-0.002630000000000021,0.016359999999999986
145,13,0.34418,0.32782,0.33968,en_wiki,2,64,0.011859999999999982,0.016359999999999986
146,13,0.34418,0.32782,0.34062,en_wiki,2,128,0.012799999999999978,0.016359999999999986
147,13,0.34418,0.32782,0.34161,en_wiki,2,256,0.013790000000000024,0.016359999999999986
148,13,0.34418,0.32782,0.34287,en_wiki,2,512,0.015050000000000008,0.016359999999999986
149,13,0.34418,0.32782,0.34356,en_wiki,2,1024,0.015739999999999976,0.016359999999999986
150,13,0.34418,0.32782,0.34389,en_wiki,2,2048,0.016069999999999973,0.016359999999999986
151,13,0.34418,0.32782,0.34417,en_wiki,2,4096,0.016349999999999976,0.016359999999999986
152,13,0.34418,0.32782,0.34366,en_wiki,2,8192,0.01584000000000002,0.016359999999999986
153,13,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
154,14,0.34418,0.32782,0.34039,en_wiki,2,16,0.012570000000000026,0.016359999999999986
155,14,0.34418,0.32782,0.33844,en_wiki,2,32,0.010620000000000018,0.016359999999999986
156,14,0.34418,0.32782,0.34375,en_wiki,2,64,0.01593,0.016359999999999986
157,14,0.34418,0.32782,0.34186,en_wiki,2,128,0.014039999999999997,0.016359999999999986
158,14,0.34418,0.32782,0.33961,en_wiki,2,256,0.011790000000000023,0.016359999999999986
159,14,0.34418,0.32782,0.34391,en_wiki,2,512,0.016089999999999993,0.016359999999999986
160,14,0.34418,0.32782,0.34278,en_wiki,2,1024,0.014959999999999973,0.016359999999999986
161,14,0.34418,0.32782,0.34286,en_wiki,2,2048,0.015039999999999998,0.016359999999999986
162,14,0.34418,0.32782,0.34401,en_wiki,2,4096,0.016189999999999982,0.016359999999999986
163,14,0.34418,0.32782,0.34399,en_wiki,2,8192,0.016170000000000018,0.016359999999999986
164,14,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
165,15,0.34418,0.32782,0.04881,en_wiki,2,16,-0.27901,0.016359999999999986
166,15,0.34418,0.32782,0.33564,en_wiki,2,32,0.007819999999999994,0.016359999999999986
