,sim,lda,freq,lda_log_freq_1,analysis,n_comp,size,delta,delta_max
111,10,0.34418,0.32782,0.34262,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,0.0147999999999999,0.0163599999999999
112,10,0.34418,0.32782,0.33035,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.0025299999999999,0.0163599999999999
113,10,0.34418,0.32782,0.34378,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.0159599999999999,0.0163599999999999
114,10,0.34418,0.32782,0.3391,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01128,0.0163599999999999
115,10,0.34418,0.32782,0.34289,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.0150699999999999,0.0163599999999999
116,10,0.34418,0.32782,0.34374,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.0159199999999999,0.0163599999999999
117,10,0.34418,0.32782,0.34401,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.0161899999999999,0.0163599999999999
118,10,0.34418,0.32782,0.3442,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.01638,0.0163599999999999
119,10,0.34418,0.32782,0.34397,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.0161499999999999,0.0163599999999999
120,10,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
121,11,0.34418,0.32782,0.34388,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,0.01606,0.0163599999999999
122,11,0.34418,0.32782,0.29828,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,-0.02954,0.0163599999999999
123,11,0.34418,0.32782,0.32897,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.0011499999999999,0.0163599999999999
124,11,0.34418,0.32782,0.33671,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.00889,0.0163599999999999
125,11,0.34418,0.32782,0.34243,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01461,0.0163599999999999
126,11,0.34418,0.32782,0.34268,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.0148599999999999,0.0163599999999999
